period,demand_mwh
2022-04-27 00:00:00+00:00,41207.083333333336
2022-04-28 00:00:00+00:00,43998.375
2022-04-29 00:00:00+00:00,46729.75
2022-04-30 00:00:00+00:00,46471.916666666664
2022-05-01 00:00:00+00:00,44993.666666666664
2022-05-02 00:00:00+00:00,48914.75
2022-05-03 00:00:00+00:00,47908.625
2022-05-04 00:00:00+00:00,47754.166666666664
2022-05-05 00:00:00+00:00,49445.458333333336
2022-05-06 00:00:00+00:00,47076.458333333336
2022-05-07 00:00:00+00:00,50878.791666666664
2022-05-08 00:00:00+00:00,53918.958333333336
2022-05-09 00:00:00+00:00,56870.166666666664
2022-05-10 00:00:00+00:00,57068.916666666664
2022-05-11 00:00:00+00:00,54834.708333333336
2022-05-12 00:00:00+00:00,53829.083333333336
2022-05-13 00:00:00+00:00,53064.083333333336
2022-05-14 00:00:00+00:00,52103.541666666664
2022-05-15 00:00:00+00:00,52558.416666666664
2022-05-16 00:00:00+00:00,54733.791666666664
2022-05-17 00:00:00+00:00,55867.75
2022-05-18 00:00:00+00:00,56188.0
2022-05-19 00:00:00+00:00,56659.25
2022-05-20 00:00:00+00:00,57725.875
2022-05-21 00:00:00+00:00,56415.541666666664
2022-05-22 00:00:00+00:00,46049.833333333336
2022-05-23 00:00:00+00:00,45565.166666666664
2022-05-24 00:00:00+00:00,46164.125
2022-05-25 00:00:00+00:00,43663.166666666664
2022-05-26 00:00:00+00:00,45333.125
2022-05-27 00:00:00+00:00,50767.166666666664
2022-05-28 00:00:00+00:00,52353.583333333336
2022-05-29 00:00:00+00:00,53793.833333333336
2022-05-30 00:00:00+00:00,54721.375
2022-05-31 00:00:00+00:00,57629.916666666664
2022-06-01 00:00:00+00:00,57464.5
2022-06-02 00:00:00+00:00,52782.666666666664
2022-06-03 00:00:00+00:00,51523.541666666664
2022-06-04 00:00:00+00:00,49316.666666666664
2022-06-05 00:00:00+00:00,52672.958333333336
2022-06-06 00:00:00+00:00,57330.25
2022-06-07 00:00:00+00:00,59183.375
2022-06-08 00:00:00+00:00,58748.166666666664
2022-06-09 00:00:00+00:00,57247.416666666664
2022-06-10 00:00:00+00:00,59090.166666666664
2022-06-11 00:00:00+00:00,60385.708333333336
2022-06-12 00:00:00+00:00,60863.75
2022-06-13 00:00:00+00:00,62346.0
2022-06-14 00:00:00+00:00,61329.583333333336
2022-06-15 00:00:00+00:00,60370.25
2022-06-16 00:00:00+00:00,60761.375
2022-06-17 00:00:00+00:00,60457.208333333336
2022-06-18 00:00:00+00:00,58572.791666666664
2022-06-19 00:00:00+00:00,58568.541666666664
2022-06-20 00:00:00+00:00,60607.125
2022-06-21 00:00:00+00:00,62475.125
2022-06-22 00:00:00+00:00,61251.041666666664
2022-06-23 00:00:00+00:00,61733.583333333336
2022-06-24 00:00:00+00:00,62756.75
2022-06-25 00:00:00+00:00,60977.916666666664
2022-06-26 00:00:00+00:00,59390.125
2022-06-27 00:00:00+00:00,59773.541666666664
2022-06-28 00:00:00+00:00,54974.375
2022-06-29 00:00:00+00:00,54447.25
2022-06-30 00:00:00+00:00,56355.0
2022-07-01 00:00:00+00:00,57472.083333333336
2022-07-02 00:00:00+00:00,58097.041666666664
2022-07-03 00:00:00+00:00,58625.958333333336
2022-07-04 00:00:00+00:00,59025.125
2022-07-05 00:00:00+00:00,61577.666666666664
2022-07-06 00:00:00+00:00,62678.666666666664
2022-07-07 00:00:00+00:00,62995.541666666664
2022-07-08 00:00:00+00:00,63252.458333333336
2022-07-09 00:00:00+00:00,63208.625
2022-07-10 00:00:00+00:00,62523.625
2022-07-11 00:00:00+00:00,64433.291666666664
2022-07-12 00:00:00+00:00,64416.541666666664
2022-07-13 00:00:00+00:00,63399.75
2022-07-14 00:00:00+00:00,62051.291666666664
2022-07-15 00:00:00+00:00,56682.083333333336
2022-07-16 00:00:00+00:00,57846.666666666664
2022-07-17 00:00:00+00:00,59633.166666666664
2022-07-18 00:00:00+00:00,62892.375
